Date,Revenue,COGS,order_count,item_count,product_count,customer_count,total_discount,total_refund,avg_delivery_days,sessions,unique_visitors,page_views,bounce_rate,day_of_week,month,year,is_weekend,promo_count,promo_avg_percentage_discount,promo_max_percentage_discount,promo_total_percentage_discount,promo_avg_fixed_discount_vnd,promo_max_fixed_discount_vnd,promo_total_fixed_discount_vnd,is_promo_day
2012-07-04,5123547.94,3982991.19,162,777,93,161,0.0,171067.01,4.310126582278481,,,,,2,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-05,2751773.45,2150580.23,97,428,65,97,0.0,57342.91,4.655913978494624,,,,,3,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-06,3054029.42,2517632.84,93,441,73,93,0.0,195614.58000000002,4.423529411764706,,,,,4,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-07,2667930.94,2108246.62,73,364,50,73,0.0,134785.14,4.390625,,,,,5,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-08,2360851.9,1808622.79,88,394,62,87,0.0,135871.83000000002,4.345238095238095,,,,,6,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-09,3548386.46,2787841.68,137,730,92,137,0.0,165093.16,4.416666666666667,,,,,0,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-10,5234938.62,4044438.84,183,928,131,182,0.0,112143.06999999999,4.171597633136095,,,,,1,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-11,5582884.78,4338313.07,221,1097,130,221,0.0,173779.72999999998,4.534883720930233,,,,,2,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-12,5734632.02,4458811.27,246,1241,157,243,0.0,94601.97,4.349794238683128,,,,,3,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-13,5309511.71,4143402.78,201,995,118,200,0.0,56152.87,4.478947368421053,,,,,4,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-14,3820831.41,3075464.87,157,751,105,154,0.0,176194.13,4.593548387096774,,,,,5,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-15,3948841.28,3154482.05,149,732,98,148,0.0,119360.99,4.420289855072464,,,,,6,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-16,3503801.49,2708219.59,140,719,93,139,0.0,90688.33,4.18796992481203,,,,,0,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-17,4476729.49,3463061.65,185,958,117,183,0.0,105280.43000000001,4.517045454545454,,,,,1,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-18,5184141.46,4072012.16,225,1085,128,223,0.0,133729.29,4.418103448275862,,,,,2,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-19,6421487.11,5007270.91,263,1322,142,259,0.0,267358.36,4.283524904214559,,,,,3,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-20,5171470.46,4213989.64,231,1227,127,230,0.0,67518.92,4.493449781659389,,,,,4,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-21,3442157.02,2746075.45,171,855,103,170,0.0,116404.57999999999,4.520231213872832,,,,,5,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-22,3117550.57,2531656.38,140,714,93,139,0.0,123881.15000000001,4.669014084507042,,,,,6,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-23,4730517.69,3685006.66,206,1037,136,203,0.0,95505.85,4.514018691588785,,,,,0,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-24,4096496.12,3248450.65,186,903,122,185,0.0,238999.17,4.4010989010989015,,,,,1,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-25,5246688.08,4140019.37,224,1090,139,221,0.0,174791.23,4.5,,,,,2,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-26,5851965.06,4579171.74,273,1310,161,270,0.0,177107.94,4.567669172932331,,,,,3,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-27,5156699.45,3989402.2,212,1070,125,211,0.0,212718.18,4.61,,,,,4,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-28,4326956.84,3403662.59,176,896,99,176,0.0,98043.23,4.556818181818182,,,,,5,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-29,4804199.65,3819645.91,206,972,126,205,0.0,95437.57,4.346938775510204,,,,,6,7,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-30,6586130.95,5195109.56,268,1332,148,264,0.0,224975.18,4.529197080291971,,,,,0,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-07-31,9151622.14,7142891.18,381,2016,183,377,0.0,290832.35,4.628272251308901,,,,,1,7,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-01,9148357.3,7308514.33,360,1693,181,357,0.0,360668.14,4.552238805970149,,,,,2,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-02,9692427.0,7537501.15,413,2038,181,410,0.0,187252.75,4.459057071960298,,,,,3,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-03,9297269.95,7118808.46,353,1793,176,351,0.0,338873.93,4.595307917888563,,,,,4,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-04,6384195.03,5087528.11,245,1161,155,243,0.0,212978.88999999998,4.559471365638767,,,,,5,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-05,2359224.19,1863413.11,76,359,62,76,0.0,41273.35,4.478260869565218,,,,,6,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-06,3630003.7,2922718.71,114,560,89,114,0.0,178776.64,4.462264150943396,,,,,0,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-07,2240253.44,1781265.84,93,471,78,91,0.0,26308.91,4.482352941176471,,,,,1,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-08,2617553.36,1997006.42,129,621,103,128,0.0,67313.12,4.492063492063492,,,,,2,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-09,4478691.52,3621672.71,156,822,112,156,0.0,81491.02,4.565789473684211,,,,,3,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-10,3412496.65,2699279.56,158,757,107,158,0.0,120282.76999999999,4.556291390728477,,,,,4,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-11,2732604.35,2168668.05,110,577,79,110,0.0,246815.05,4.366071428571429,,,,,5,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-12,3388181.83,2654275.25,138,689,102,137,0.0,170526.83,4.371428571428571,,,,,6,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-13,3928170.01,3189564.96,153,765,95,153,0.0,120610.56,4.240259740259741,,,,,0,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-14,4033912.16,3258198.58,151,765,113,151,0.0,76958.1,4.421052631578948,,,,,1,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-15,3780293.26,2886923.59,162,828,107,161,0.0,139839.81,4.445859872611465,,,,,2,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-16,5249978.18,4222455.97,212,1153,141,209,0.0,221091.11,4.58252427184466,,,,,3,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-17,4089284.05,3238908.92,158,768,123,158,0.0,46016.42,4.445859872611465,,,,,4,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-18,3450015.71,2808916.94,135,640,113,135,0.0,109783.97,4.7218045112781954,,,,,5,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-19,3904300.93,3006801.4,158,865,107,156,0.0,138601.15,4.581818181818182,,,,,6,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-20,3541027.32,2827038.81,158,796,107,157,0.0,105338.97,4.647058823529412,,,,,0,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-21,4147483.23,3364364.64,172,851,125,172,0.0,148383.71,4.478527607361963,,,,,1,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-22,4597682.81,3562468.33,185,925,122,184,0.0,97581.98,4.4411764705882355,,,,,2,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-23,5478869.55,4195738.04,231,1107,133,228,0.0,253553.81,4.517857142857143,,,,,3,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-24,4637850.57,3632210.67,196,973,138,195,0.0,56455.19,4.439153439153439,,,,,4,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-25,3589566.28,2784342.75,141,701,106,138,0.0,49185.61,4.654135338345864,,,,,5,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-26,4280204.53,3476942.48,164,842,112,161,0.0,121724.16,4.484662576687117,,,,,6,8,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-27,3038895.84,2365260.68,137,632,98,136,0.0,118169.99,4.014925373134329,,,,,0,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-28,9508676.62,7439851.59,391,2016,180,390,0.0,199721.7,4.540942928039702,,,,,1,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-29,9260558.32,7336294.54,382,2026,185,377,0.0,263651.67,4.4,,,,,2,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-30,10086534.1,7950911.72,403,2057,181,400,0.0,223061.94999999998,4.57840616966581,,,,,3,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-08-31,9104678.52,7277460.12,393,1992,182,389,0.0,191427.76,4.414948453608248,,,,,4,8,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-01,8560208.92,6738335.17,341,1829,157,337,0.0,203342.23,4.530791788856305,,,,,5,9,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-02,2587099.44,1946097.28,106,495,82,105,0.0,71629.18,4.407766990291262,,,,,6,9,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-03,3865505.01,3063431.08,147,752,115,147,0.0,152597.6,4.533333333333333,,,,,0,9,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-04,3645749.44,2876968.79,147,672,105,147,0.0,63688.15,4.597402597402597,,,,,1,9,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-05,2398185.51,1966376.48,87,438,76,87,0.0,47705.37,4.594936708860759,,,,,2,9,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-06,2858227.37,2147909.96,119,636,87,119,0.0,244317.25,4.950819672131147,,,,,3,9,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-07,3282753.8,2580035.06,139,675,105,136,0.0,95753.65000000001,4.4375,,,,,4,9,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-08,3666204.89,2804001.32,130,637,96,130,0.0,143314.59,4.714285714285714,,,,,5,9,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-09,4458501.42,3589475.8,170,882,132,169,0.0,129342.41,4.372781065088757,,,,,6,9,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012-09-10,4548962.79,3517300.88,186,969,126,185,0.0,146695.49,4.310526315789474,,,,,0,9,2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
