Date,Revenue,COGS
2023-01-01,4124426.82,3568620.69
2023-01-02,1736097.92,1447924.96
2023-01-03,1396878.37,1195183.16
2023-01-04,1363562.61,1201363.04
2023-01-05,1515219.61,1287535.18
2023-01-06,1699664.24,1444475.7
2023-01-07,1873833.7,1602233.25
2023-01-08,2057505.74,1726684.88
2023-01-09,2249463.26,1871418.0
2023-01-10,2237106.81,1887237.82
2023-01-11,2196963.37,1873794.24
2023-01-12,2216509.4,1901532.89
2023-01-13,2282802.27,1941545.63
2023-01-14,2183219.3,1845258.64
2023-01-15,2359633.63,1949514.51
2023-01-16,2249838.12,1943199.14
2023-01-17,2391259.5,2010704.98
2023-01-18,2153608.67,1863497.74
2023-01-19,2194628.99,1955348.9
2023-01-20,2375327.94,2043085.77
2023-01-21,2412064.27,2043237.06
2023-01-22,2618626.06,2216808.63
2023-01-23,2853746.82,2383415.62
2023-01-24,2647009.56,2313075.04
2023-01-25,2430797.09,2252672.94
2023-01-26,2783351.36,2436780.55
2023-01-27,3187112.58,2744321.31
2023-01-28,4131442.94,3422188.4
2023-01-29,4504735.0,3709727.69
2023-01-30,4400036.37,3710276.93
2023-01-31,3981046.77,3370402.62
2023-02-01,3722353.28,3139974.28
2023-02-02,2347277.04,2089136.21
2023-02-03,2037400.18,1828745.55
2023-02-04,2313223.09,1966760.11
2023-02-05,2491649.82,2074574.4
2023-02-06,2562115.52,2172403.74
2023-02-07,2763987.47,2287512.77
2023-02-08,2386061.6,2125230.72
2023-02-09,2506347.39,2234507.27
2023-02-10,2698827.22,2309256.1
2023-02-11,2936325.76,2552795.47
2023-02-12,3383163.87,2792489.89
2023-02-13,3312934.86,2840619.83
2023-02-14,3288065.78,2818982.11
2023-02-15,2926158.45,2633092.14
2023-02-16,3189478.48,2797353.42
2023-02-17,3208538.07,2748779.94
2023-02-18,3333820.77,2860013.25
2023-02-19,3702023.8,3086427.04
2023-02-20,3614828.21,3149287.05
2023-02-21,3667435.86,3103100.33
2023-02-22,3667890.04,3180968.08
2023-02-23,4015378.55,3444024.33
2023-02-24,4316393.37,3818835.17
2023-02-25,5483244.46,4838276.43
2023-02-26,5713843.94,5102768.7
2023-02-27,5788730.64,5056549.13
2023-02-28,4964488.35,4290593.96
2023-03-01,3744550.4,3195554.35
2023-03-02,1486407.87,1413913.81
2023-03-03,1469020.59,1413022.0
2023-03-04,1908905.53,1664505.19
2023-03-05,2362715.89,2030764.17
2023-03-06,3319806.16,2771820.4
2023-03-07,3311503.9,2838427.38
2023-03-08,3798430.6,3111727.89
2023-03-09,3661093.27,3079950.97
2023-03-10,3580055.92,3015965.75
2023-03-11,3935964.86,3326577.56
2023-03-12,4044427.78,3448069.51
2023-03-13,4632831.38,3795671.56
2023-03-14,4809503.48,3966825.38
2023-03-15,5219133.32,4145865.54
2023-03-16,4828379.22,4054310.76
2023-03-17,5165696.41,4332468.35
2023-03-18,4964491.0,4270471.5
2023-03-19,4777396.1,4270842.97
2023-03-20,5045573.38,4443383.21
2023-03-21,4889613.96,4360833.31
2023-03-22,5565538.39,4828053.46
2023-03-23,5636038.78,4878593.86
2023-03-24,5179547.8,4730522.72
2023-03-25,4949161.84,4652579.28
2023-03-26,5351530.81,5012335.96
2023-03-27,5761660.78,5400539.38
2023-03-28,5754878.62,5479633.13
2023-03-29,6310086.6,6128475.4
2023-03-30,10776759.68,9726550.93
2023-03-31,9254853.53,8528442.63
2023-04-01,9532342.27,8809982.31
2023-04-02,8632559.63,8173129.91
2023-04-03,8397968.23,7809700.0
2023-04-04,3566506.31,3304924.53
2023-04-05,3353979.18,3109250.77
2023-04-06,3732057.41,3316266.18
2023-04-07,3545321.07,3244104.8
2023-04-08,4030445.02,3789033.2
2023-04-09,4447373.52,4157590.41
2023-04-10,5120603.02,4624902.44
2023-04-11,5078600.46,4632931.87
2023-04-12,5021070.14,4710307.18
2023-04-13,5330173.09,4808729.37
2023-04-14,5099828.75,4696664.98
2023-04-15,5036193.31,4554760.95
2023-04-16,5696840.83,4812953.19
2023-04-17,5726587.49,5094072.07
2023-04-18,5922313.01,5123521.34
2023-04-19,5945871.41,5074636.17
2023-04-20,5886966.87,5147040.33
2023-04-21,5524970.15,4847554.62
2023-04-22,5681058.49,4831892.9
2023-04-23,5967901.62,5490725.3
2023-04-24,6093358.31,5500612.01
2023-04-25,6875279.79,6158845.51
2023-04-26,6649740.63,5825280.41
2023-04-27,6795380.68,6176916.22
2023-04-28,7701495.68,6926626.41
2023-04-29,9927679.28,8791511.1
2023-04-30,9599520.98,8965329.24
2023-05-01,9606419.0,8743590.72
2023-05-02,8325486.74,7203285.59
2023-05-03,7057180.47,6093038.11
2023-05-04,3530095.4,3115988.22
2023-05-05,4022113.87,3349631.31
2023-05-06,3829578.96,3244051.88
2023-05-07,4271931.34,3544261.76
2023-05-08,4809681.66,3897521.14
2023-05-09,4596711.32,3850494.41
2023-05-10,5175766.42,4176935.27
2023-05-11,5572069.37,4478045.37
2023-05-12,5361724.34,4389833.42
2023-05-13,5424889.99,4618636.68
2023-05-14,5672896.5,4995583.87
2023-05-15,5935972.94,5145385.3
2023-05-16,5952974.12,5320662.59
2023-05-17,6245117.73,5367776.97
2023-05-18,6108032.36,5443456.2
2023-05-19,5881059.18,5121991.9
2023-05-20,5672130.74,5007541.62
2023-05-21,5579304.63,4955277.39
2023-05-22,6018094.74,5375386.85
2023-05-23,5903364.75,5196891.04
2023-05-24,6082747.27,5271519.08
2023-05-25,6061931.7,5361212.5
2023-05-26,5631105.12,5009232.48
2023-05-27,5553407.87,5085189.26
2023-05-28,5885124.91,5535002.44
2023-05-29,6554569.19,6155901.36
2023-05-30,11421465.09,10006377.13
2023-05-31,11535992.85,10330215.87
2023-06-01,11941145.52,9855314.32
2023-06-02,10063626.14,8244104.53
2023-06-03,7889184.48,6581172.41
2023-06-04,4139682.31,3598856.55
2023-06-05,4610622.17,3738938.03
2023-06-06,4687561.98,3759697.24
2023-06-07,4802018.35,3870144.56
2023-06-08,5033841.48,4180763.27
2023-06-09,5072398.84,4233735.57
2023-06-10,5015888.47,4252980.81
2023-06-11,5143657.33,4373048.71
2023-06-12,5827622.16,4902000.49
2023-06-13,5690726.82,4755520.33
2023-06-14,5966352.14,4941272.78
2023-06-15,5836331.9,4954336.95
2023-06-16,5842518.85,4990184.29
2023-06-17,5483777.06,4661634.49
2023-06-18,5745219.02,5064956.85
2023-06-19,5694504.25,4736536.32
2023-06-20,5728540.96,4875004.97
2023-06-21,5871585.34,4887388.31
2023-06-22,5814853.77,5123345.94
2023-06-23,5584566.84,5062725.96
2023-06-24,5594615.44,5146037.29
2023-06-25,5642141.09,5450595.38
2023-06-26,5557287.23,5112704.25
2023-06-27,5875219.83,5421633.08
2023-06-28,6597308.74,5929479.45
2023-06-29,8555303.09,7909494.43
2023-06-30,7468374.47,7063071.61
2023-07-01,6967235.9,6776392.85
2023-07-02,6852464.98,6501314.74
2023-07-03,6007501.01,5491703.31
2023-07-04,1866367.02,1701164.22
2023-07-05,2549083.06,2433325.53
2023-07-06,2544144.53,2513943.29
2023-07-07,2846693.07,2815908.07
2023-07-08,2710332.03,2529250.69
2023-07-09,3848504.04,3526861.3
2023-07-10,4070703.48,4029346.52
2023-07-11,4162422.69,4092064.55
2023-07-12,4502880.31,4327733.48
2023-07-13,4357250.91,4255461.19
2023-07-14,4247535.22,4165064.78
2023-07-15,4211420.93,4052706.67
2023-07-16,4220320.0,4092862.48
2023-07-17,4403567.76,4187935.86
2023-07-18,4454684.92,4249012.97
2023-07-19,4763232.63,4372696.72
2023-07-20,4670547.35,4259111.02
2023-07-21,4610214.9,3955277.57
2023-07-22,4367697.8,4009401.85
2023-07-23,4603866.26,3927794.55
2023-07-24,4887703.14,4141151.12
2023-07-25,4904964.88,4201570.13
2023-07-26,5326418.29,4522402.15
2023-07-27,5172287.61,4417216.81
2023-07-28,5519964.38,4698888.74
2023-07-29,5552061.72,5105796.78
2023-07-30,5745566.77,5274962.67
2023-07-31,7644093.35,7111817.77
2023-08-01,7497965.55,7147320.18
2023-08-02,6707506.98,6156635.62
2023-08-03,6056769.9,5352446.57
2023-08-04,5335567.68,4730158.6
2023-08-05,2401060.2,2353498.24
2023-08-06,2715268.13,2492105.36
